municipality_id,municipality_name,domain,tier_public_label,checkpoint_cdx_record_count,checkpoint_valid_capture_count,model_total_arquivo_captures,capture_count_imputed,imputation_note,first_capture_timestamp,last_capture_timestamp,first_capture_year,last_capture_year,active_years_count,unique_digest_count,status_200_count,status_3xx_count,status_4xx_count,status_5xx_count,mime_html_count,mime_pdf_count,mime_image_count,checkpoint_capture_source,model_capture_source,capture_density,digital_decay_rate,digital_decay_rate_source,digital_decay_rate_formula_status,risk_score,evidence_quality_flag
MUN_1D33852A,Alcoutim,cm-alcoutim.pt,Tier 4 — Risco Crítico,5000,3268,628.0,yes,fase2 raw=0; model used median imputed value=628,19981212013257,20240328213923,1998,2024,26,3399,2758,510,1731,0,4979,0,11,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.248417721519,18.2812,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,81.3,imputed
MUN_B6462C01,Alenquer,cm-alenquer.pt,Tier 1 — Resiliência,5000,4980,628.0,yes,fase2 raw=0; model used median imputed value=628,20020806015928,20240315042149,2002,2024,23,1898,4750,230,20,0,1189,0,3762,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0138637467438,17.2792,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.4,imputed
MUN_B0C656C7,Alfândega da Fé,cm-alfandegadafe.pt,Tier 4 — Risco Crítico,5000,1618,1264.0,no,raw value used directly,20021007150314,20240925223924,2002,2024,23,1472,1545,73,3375,7,5000,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.293339521931,15.1756,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,92.7,ok
MUN_E4752061,Alijó,cm-alijo.pt,Tier 4 — Risco Crítico,5000,4172,628.0,yes,fase2 raw=0; model used median imputed value=628,20021107062008,20250821150951,2002,2025,24,2464,4005,170,814,3,3416,24,1442,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0598380181039,18.0869,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,71.5,imputed
MUN_442547B4,Aljezur,cm-aljezur.pt,Tier 1 — Resiliência,5000,4946,628.0,yes,fase2 raw=0; model used median imputed value=628,20010401201343,20240314224940,2001,2024,24,1009,4238,708,53,0,4059,459,92,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.102313457152,18.7606,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,1.7,imputed
MUN_61B9DF83,Aljustrel,mun-aljustrel.pt,Tier 2 — Estagnação,5000,3704,530.0,no,raw value used directly,20040917155736,20240328202253,2004,2024,21,2224,3509,195,1296,0,3955,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0594904029633,19.4041,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,29.6,ok
MUN_9A0AA33B,Almada,cm-almada.pt,Tier 1 — Resiliência,5000,1151,628.0,yes,fase2 raw=0; model used median imputed value=628,20081024003905,20250506161238,2008,2025,16,4157,988,163,3849,0,4996,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0035272378021,22.8638,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.2,imputed
MUN_928CF427,Almeida,cm-almeida.pt,Tier 4 — Risco Crítico,5000,1512,628.0,yes,fase2 raw=0; model used median imputed value=628,20021205044538,20241003014512,2002,2024,21,842,761,751,3486,0,4998,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.10768175583,17.5617,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,93.1,imputed
MUN_4DCAB40B,Almeirim,cm-almeirim.pt,Tier 1 — Resiliência,5000,1996,628.0,yes,fase2 raw=0; model used median imputed value=628,19980518050205,20241025221618,1998,2024,25,2328,1828,168,3004,0,4765,0,1,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0282374100719,15.3309,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,1.3,imputed
MUN_32BBBF16,Almodôvar,cm-almodovar.pt,Tier 4 — Risco Crítico,5000,3323,628.0,yes,fase2 raw=0; model used median imputed value=628,19991001064750,20240925223924,1999,2024,25,2189,2957,366,1672,1,4332,505,150,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0929269014501,17.1666,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,60.5,imputed
MUN_8A018CE4,Alpiarça,cm-alpiarca.pt,Tier 3 — Risco de Fuga,5000,3881,628.0,yes,fase2 raw=0; model used median imputed value=628,200012120558,20241213002952,2000,2024,24,2911,3762,119,1118,1,3194,0,442,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0892679459844,16.9927,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,10.1,imputed
MUN_061C3958,Alter do Chão,cm-alter-chao.pt,Tier 4 — Risco Crítico,5000,2972,291.0,no,raw value used directly,19980518050222,20240930004144,1998,2024,27,3147,2540,478,1981,1,4849,0,24,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0934789592033,20.8114,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,74.6,ok
MUN_02971D4C,Alvaiázere,cm-alvaiazere.pt,Tier 4 — Risco Crítico,5000,4594,628.0,yes,fase2 raw=0; model used median imputed value=628,20011207053741,20241231221435,2001,2024,24,4434,4401,193,350,56,4999,0,1,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0996983648198,14.8859,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,83.0,imputed
MUN_3D287A6C,Alvito,cm-alvito.pt,Tier 4 — Risco Crítico,5000,4967,628.0,yes,fase2 raw=0; model used median imputed value=628,20010124132340,20240316171554,2001,2024,24,2260,3420,1547,31,0,4547,8,396,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.274116106504,19.2308,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,75.7,imputed
MUN_DB26F552,Amadora,cm-amadora.pt,Tier 2 — Estagnação,5000,3751,628.0,yes,fase2 raw=0; model used median imputed value=628,19981203105641,20240620045241,1998,2024,26,3558,3580,171,1241,1,4857,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.00363657420812,15.2652,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.7,imputed
MUN_1C89B198,Amarante,cm-amarante.pt,Tier 3 — Risco de Fuga,5000,4909,628.0,yes,fase2 raw=0; model used median imputed value=628,19980518050248,20250201145745,1998,2025,28,3286,3413,1496,90,0,4986,0,10,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0120294990901,14.7407,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,7.7,imputed
MUN_8AA48A09,Amares,cm-amares.pt,Tier 2 — Estagnação,5000,4948,628.0,yes,fase2 raw=0; model used median imputed value=628,20050505035812,20240830210323,2005,2024,20,4360,4836,112,52,0,4661,326,3,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0334683436368,18.2388,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,1.9,imputed
MUN_780B6470,Anadia,cm-anadia.pt,Tier 2 — Estagnação,5000,3572,1237.0,no,raw value used directly,20040605110819,20240929234726,2004,2024,21,3417,3467,105,1421,3,4906,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0445252321647,15.5376,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,16.3,ok
MUN_AB2D308B,Angra do Heroísmo,angradoheroismo.pt,Tier 2 — Estagnação,5000,3558,839.0,no,raw value used directly,20080311235956,20240612123607,2008,2024,14,3441,2770,788,1440,0,4957,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0247324823866,15.9522,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,1.0,ok
MUN_5775CCEF,Ansião,cm-ansiao.pt,Tier 4 — Risco Crítico,5000,4870,902.0,no,raw value used directly,19981212023843,20241231221435,1998,2024,27,3853,4771,100,122,1,4417,274,208,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0768968456948,16.9952,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,75.8,ok
MUN_28C2A6D2,Arcos de Valdevez,cmav.pt,Tier 3 — Risco de Fuga,5000,3809,1020.0,no,raw value used directly,20081022134328,20241210221748,2008,2024,17,2983,3638,171,1166,24,4130,674,14,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0491471523562,16.9892,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,32.3,ok
MUN_008218B7,Arganil,cm-arganil.pt,Tier 3 — Risco de Fuga,5000,4638,271.0,no,raw value used directly,19980518050240,20241207015951,1998,2024,27,3054,844,3794,355,1,4994,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0242527295507,19.2258,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,36.3,ok
MUN_566EBDC5,Armamar,cm-armamar.pt,Tier 3 — Risco de Fuga,5000,3391,782.0,no,raw value used directly,20010913013109,20241212015423,2001,2024,23,3096,3253,138,1593,16,4549,147,234,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.13640327926,17.0613,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,32.8,ok
MUN_6C7F88F0,Arouca,cm-arouca.pt,Tier 3 — Risco de Fuga,5000,2663,345.0,no,raw value used directly,19980518050257,20251120203647,1998,2025,25,3764,1696,967,2333,0,4913,0,30,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0163190009933,20.0884,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,2.5,ok
MUN_8A02DD79,Arraiolos,cm-arraiolos.pt,Tier 4 — Risco Crítico,5000,4621,505.0,no,raw value used directly,19981111185122,20240611044526,1998,2024,25,1233,3486,1135,372,2,2362,0,901,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0755988023952,19.5014,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,67.6,ok
MUN_88D3CF39,Arronches,cm-arronches.pt,Tier 4 — Risco Crítico,5000,4329,628.0,yes,fase2 raw=0; model used median imputed value=628,20010720150353,20240329074609,2001,2024,23,4548,4160,187,650,3,5000,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.223965763195,20.0445,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,84.5,imputed
MUN_676137F7,Arruda dos Vinhos,cm-arruda.pt,Tier 1 — Resiliência,5000,4786,854.0,no,raw value used directly,20010516020947,20251021180203,2001,2025,25,1577,4723,63,212,0,1355,62,3200,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0599088039284,16.5092,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,1.4,ok
MUN_0209F7DC,Aveiro,cm-aveiro.pt,Tier 1 — Resiliência,5000,4906,628.0,yes,fase2 raw=0; model used median imputed value=628,19981212023844,20241231225141,1998,2024,27,4522,4841,65,91,2,4952,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.00766264825028,16.2637,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.3,imputed
MUN_2F3D2D37,Avis,cm-avis.pt,Tier 4 — Risco Crítico,5000,2472,628.0,yes,fase2 raw=0; model used median imputed value=628,20020725161159,20240823122644,2002,2024,21,419,556,1916,2525,3,4946,0,1,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.164183006536,19.4109,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,88.0,imputed
MUN_1D5C88AE,Azambuja,cm-azambuja.pt,Tier 2 — Estagnação,5000,4075,628.0,yes,fase2 raw=0; model used median imputed value=628,20030730020916,20241028205223,2003,2024,22,4468,3931,144,923,2,2911,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0288602941176,16.3964,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,1.3,imputed
MUN_4B76A6B9,Baião,cm-baiao.pt,Tier 3 — Risco de Fuga,5000,3281,628.0,yes,fase2 raw=0; model used median imputed value=628,20010225100546,20240926000621,2001,2024,24,4199,3068,213,1610,3,4946,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0357773599954,1.9492,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,14.7,imputed
MUN_32E39A7E,Barcelos,cm-barcelos.pt,Tier 2 — Estagnação,5000,3411,1532.0,no,raw value used directly,20011019074344,20240616000348,2001,2024,24,3097,3161,250,1588,1,4663,0,335,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.01309995126,16.5287,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.5,ok
MUN_852254E4,Barrancos,cm-barrancos.pt,Tier 4 — Risco Crítico,5000,4940,282.0,no,raw value used directly,20010720200708,20240315231135,2001,2024,23,4836,4901,39,57,0,4997,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.185893210283,19.4109,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,84.0,ok
MUN_090441A6,Barreiro,cm-barreiro.pt,Tier 2 — Estagnação,5000,3396,1776.0,no,raw value used directly,19981212023843,20260316152808,1998,2026,29,2710,2819,577,1313,291,4927,0,3,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0225489449227,10.2716,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,1.7,ok
MUN_BE14ED1A,Batalha,cm-batalha.pt,Tier 2 — Estagnação,5000,4937,192.0,no,raw value used directly,20010211021843,20241213220816,2001,2024,23,4070,4936,1,60,1,4998,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.012213740458,21.3236,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.6,ok
MUN_B4DDE8B6,Beja,cm-beja.pt,Tier 2 — Estagnação,5000,4764,325.0,no,raw value used directly,20000731103930,20240725155342,2000,2024,24,1153,4252,512,233,1,1988,0,1387,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.00966485264817,19.2353,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.4,ok
MUN_39A1B80A,Belmonte,cm-belmonte.pt,Tier 3 — Risco de Fuga,5000,4705,529.0,no,raw value used directly,200102011505,20241003014520,2001,2024,24,791,1822,2883,288,0,4499,55,432,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0854190214759,14.4817,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,16.8,ok
MUN_EE9A7215,Benavente,cm-benavente.pt,Tier 1 — Resiliência,5000,3733,866.0,no,raw value used directly,20000407202005,20251119212439,2000,2025,25,3883,3589,147,1261,3,3399,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0285695434151,16.6882,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.5,ok
MUN_F42B2209,Bombarral,cm-bombarral.pt,Tier 2 — Estagnação,5000,4830,647.0,no,raw value used directly,20001018204522,20240925223934,2000,2024,23,1806,4762,68,167,1,1281,0,3701,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.049624175487,17.1231,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,1.1,ok
MUN_84E525D4,Borba,cm-borba.pt,Tier 4 — Risco Crítico,5000,4843,395.0,no,raw value used directly,19991128101803,20240702012157,1999,2024,25,634,704,4139,156,0,4980,0,0,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0610038610039,20.0549,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,61.9,ok
MUN_92AC3EBC,Boticas,cm-boticas.pt,Tier 4 — Risco Crítico,5000,4793,522.0,no,raw value used directly,19981202105303,20251215110528,1998,2025,28,1840,3785,1008,2,0,3043,507,1195,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.104945717732,17.5357,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,78.7,ok
MUN_7153E018,Braga,cm-braga.pt,Tier 1 — Resiliência,5000,4948,428.0,no,raw value used directly,20000408033039,20250523225202,2000,2025,26,262,1690,3258,10,1,3524,1,1429,cdx_checkpoint.json (local capped checkpoint),relatorio_produto_cassandra.csv,0.0021995189837,19.0342,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,0.3,ok
