municipality_id,municipality_name,domain,raw_total_arquivo_captures,model_total_arquivo_captures,capture_count_imputed,capture_density,capture_density_formula,digital_decay_rate,digital_decay_rate_source,digital_decay_rate_formula_status,total_arquivo_captures_enters_model,capture_density_enters_model,digital_decay_rate_enters_model,tier_public_label,notes
MUN_1D33852A,Alcoutim,cm-alcoutim.pt,0,628.0,yes,0.248417721519,Total_Arquivo_Captures / Pop. 2021,18.2812,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,Capture count imputed with median value.
MUN_B6462C01,Alenquer,cm-alenquer.pt,0,628.0,yes,0.0138637467438,Total_Arquivo_Captures / Pop. 2021,17.2792,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,Capture count imputed with median value.
MUN_B0C656C7,Alfândega da Fé,cm-alfandegadafe.pt,1264,1264.0,no,0.293339521931,Total_Arquivo_Captures / Pop. 2021,15.1756,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_E4752061,Alijó,cm-alijo.pt,0,628.0,yes,0.0598380181039,Total_Arquivo_Captures / Pop. 2021,18.0869,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,Capture count imputed with median value.
MUN_442547B4,Aljezur,cm-aljezur.pt,0,628.0,yes,0.102313457152,Total_Arquivo_Captures / Pop. 2021,18.7606,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,Capture count imputed with median value.
MUN_61B9DF83,Aljustrel,mun-aljustrel.pt,530,530.0,no,0.0594904029633,Total_Arquivo_Captures / Pop. 2021,19.4041,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_9A0AA33B,Almada,cm-almada.pt,0,628.0,yes,0.0035272378021,Total_Arquivo_Captures / Pop. 2021,22.8638,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,Capture count imputed with median value.
MUN_928CF427,Almeida,cm-almeida.pt,0,628.0,yes,0.10768175583,Total_Arquivo_Captures / Pop. 2021,17.5617,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,Capture count imputed with median value.
MUN_4DCAB40B,Almeirim,cm-almeirim.pt,0,628.0,yes,0.0282374100719,Total_Arquivo_Captures / Pop. 2021,15.3309,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,Capture count imputed with median value.
MUN_32BBBF16,Almodôvar,cm-almodovar.pt,0,628.0,yes,0.0929269014501,Total_Arquivo_Captures / Pop. 2021,17.1666,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,Capture count imputed with median value.
MUN_8A018CE4,Alpiarça,cm-alpiarca.pt,0,628.0,yes,0.0892679459844,Total_Arquivo_Captures / Pop. 2021,16.9927,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,Capture count imputed with median value.
MUN_061C3958,Alter do Chão,cm-alter-chao.pt,291,291.0,no,0.0934789592033,Total_Arquivo_Captures / Pop. 2021,20.8114,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_02971D4C,Alvaiázere,cm-alvaiazere.pt,0,628.0,yes,0.0996983648198,Total_Arquivo_Captures / Pop. 2021,14.8859,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,Capture count imputed with median value.
MUN_3D287A6C,Alvito,cm-alvito.pt,0,628.0,yes,0.274116106504,Total_Arquivo_Captures / Pop. 2021,19.2308,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,Capture count imputed with median value.
MUN_DB26F552,Amadora,cm-amadora.pt,0,628.0,yes,0.00363657420812,Total_Arquivo_Captures / Pop. 2021,15.2652,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,Capture count imputed with median value.
MUN_1C89B198,Amarante,cm-amarante.pt,0,628.0,yes,0.0120294990901,Total_Arquivo_Captures / Pop. 2021,14.7407,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,Capture count imputed with median value.
MUN_8AA48A09,Amares,cm-amares.pt,0,628.0,yes,0.0334683436368,Total_Arquivo_Captures / Pop. 2021,18.2388,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,Capture count imputed with median value.
MUN_780B6470,Anadia,cm-anadia.pt,1237,1237.0,no,0.0445252321647,Total_Arquivo_Captures / Pop. 2021,15.5376,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_AB2D308B,Angra do Heroísmo,angradoheroismo.pt,839,839.0,no,0.0247324823866,Total_Arquivo_Captures / Pop. 2021,15.9522,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_5775CCEF,Ansião,cm-ansiao.pt,902,902.0,no,0.0768968456948,Total_Arquivo_Captures / Pop. 2021,16.9952,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_28C2A6D2,Arcos de Valdevez,cmav.pt,1020,1020.0,no,0.0491471523562,Total_Arquivo_Captures / Pop. 2021,16.9892,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_008218B7,Arganil,cm-arganil.pt,271,271.0,no,0.0242527295507,Total_Arquivo_Captures / Pop. 2021,19.2258,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_566EBDC5,Armamar,cm-armamar.pt,782,782.0,no,0.13640327926,Total_Arquivo_Captures / Pop. 2021,17.0613,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_6C7F88F0,Arouca,cm-arouca.pt,345,345.0,no,0.0163190009933,Total_Arquivo_Captures / Pop. 2021,20.0884,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_8A02DD79,Arraiolos,cm-arraiolos.pt,505,505.0,no,0.0755988023952,Total_Arquivo_Captures / Pop. 2021,19.5014,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_88D3CF39,Arronches,cm-arronches.pt,0,628.0,yes,0.223965763195,Total_Arquivo_Captures / Pop. 2021,20.0445,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,Capture count imputed with median value.
MUN_676137F7,Arruda dos Vinhos,cm-arruda.pt,854,854.0,no,0.0599088039284,Total_Arquivo_Captures / Pop. 2021,16.5092,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,ok
MUN_0209F7DC,Aveiro,cm-aveiro.pt,0,628.0,yes,0.00766264825028,Total_Arquivo_Captures / Pop. 2021,16.2637,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,Capture count imputed with median value.
MUN_2F3D2D37,Avis,cm-avis.pt,0,628.0,yes,0.164183006536,Total_Arquivo_Captures / Pop. 2021,19.4109,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,Capture count imputed with median value.
MUN_1D5C88AE,Azambuja,cm-azambuja.pt,0,628.0,yes,0.0288602941176,Total_Arquivo_Captures / Pop. 2021,16.3964,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,Capture count imputed with median value.
MUN_4B76A6B9,Baião,cm-baiao.pt,0,628.0,yes,0.0357773599954,Total_Arquivo_Captures / Pop. 2021,1.9492,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,Capture count imputed with median value.
MUN_32E39A7E,Barcelos,cm-barcelos.pt,1532,1532.0,no,0.01309995126,Total_Arquivo_Captures / Pop. 2021,16.5287,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_852254E4,Barrancos,cm-barrancos.pt,282,282.0,no,0.185893210283,Total_Arquivo_Captures / Pop. 2021,19.4109,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_090441A6,Barreiro,cm-barreiro.pt,1776,1776.0,no,0.0225489449227,Total_Arquivo_Captures / Pop. 2021,10.2716,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_BE14ED1A,Batalha,cm-batalha.pt,192,192.0,no,0.012213740458,Total_Arquivo_Captures / Pop. 2021,21.3236,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_B4DDE8B6,Beja,cm-beja.pt,325,325.0,no,0.00966485264817,Total_Arquivo_Captures / Pop. 2021,19.2353,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_39A1B80A,Belmonte,cm-belmonte.pt,529,529.0,no,0.0854190214759,Total_Arquivo_Captures / Pop. 2021,14.4817,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_EE9A7215,Benavente,cm-benavente.pt,866,866.0,no,0.0285695434151,Total_Arquivo_Captures / Pop. 2021,16.6882,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,ok
MUN_F42B2209,Bombarral,cm-bombarral.pt,647,647.0,no,0.049624175487,Total_Arquivo_Captures / Pop. 2021,17.1231,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_84E525D4,Borba,cm-borba.pt,395,395.0,no,0.0610038610039,Total_Arquivo_Captures / Pop. 2021,20.0549,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_92AC3EBC,Boticas,cm-boticas.pt,522,522.0,no,0.104945717732,Total_Arquivo_Captures / Pop. 2021,17.5357,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_7153E018,Braga,cm-braga.pt,428,428.0,no,0.0021995189837,Total_Arquivo_Captures / Pop. 2021,19.0342,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,ok
MUN_0BFE517B,Bragança,cm-braganca.pt,697,697.0,no,0.0200581311692,Total_Arquivo_Captures / Pop. 2021,15.8765,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_9DB6D753,Cabeceiras de Basto,cabeceirasdebasto.pt,531,531.0,no,0.0340712223292,Total_Arquivo_Captures / Pop. 2021,17.6565,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_7CBA1899,Cadaval,cm-cadaval.pt,646,646.0,no,0.0472567666423,Total_Arquivo_Captures / Pop. 2021,17.5891,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_8DC90693,Caldas da Rainha,mcr.pt,25,25.0,no,0.000484439793822,Total_Arquivo_Captures / Pop. 2021,28.371,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_64CB487F,Calheta [R.A.A.],cm-calheta.pt,146,146.0,no,0.0417142857143,Total_Arquivo_Captures / Pop. 2021,11.5987,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_06437F55,Calheta [R.A.M.],cmcalheta.pt,148,148.0,no,0.0134864224531,Total_Arquivo_Captures / Pop. 2021,17.4755,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_28392635,Câmara de Lobos,cm-camaradelobos.pt,581,581.0,no,0.0179709248376,Total_Arquivo_Captures / Pop. 2021,17.6848,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_10611480,Caminha,cm-caminha.pt,1097,1097.0,no,0.0689200226173,Total_Arquivo_Captures / Pop. 2021,16.5962,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_330B4727,Campo Maior,cm-campo-maior.pt,208,208.0,no,0.0257648953301,Total_Arquivo_Captures / Pop. 2021,19.765,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_1694416F,Cantanhede,cm-cantanhede.pt,167,167.0,no,0.00485324033711,Total_Arquivo_Captures / Pop. 2021,23.5426,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_2D5A25B7,Carrazeda de Ansiães,cm-carrazedadeansiaes.pt,909,909.0,no,0.166179159049,Total_Arquivo_Captures / Pop. 2021,16.7633,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_5E36566C,Carregal do Sal,cm-carregal.pt,568,568.0,no,0.0624656329044,Total_Arquivo_Captures / Pop. 2021,19.4109,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_86649B42,Cartaxo,cm-cartaxo.pt,241,241.0,no,0.0102492132347,Total_Arquivo_Captures / Pop. 2021,19.3625,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 2 — Estagnação,ok
MUN_D78AC607,Cascais,cm-cascais.pt,476,476.0,no,0.00221950741856,Total_Arquivo_Captures / Pop. 2021,17.909,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 1 — Resiliência,ok
MUN_0DA4B98D,Castanheira de Pêra,cm-castanheiradepera.pt,374,374.0,no,0.138981791156,Total_Arquivo_Captures / Pop. 2021,18.393,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
MUN_7EFD2C7F,Castelo Branco,cm-castelobranco.pt,3730,3730.0,no,0.0710029885976,Total_Arquivo_Captures / Pop. 2021,1.983,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_6E5761A2,Castelo de Paiva,cm-castelo-paiva.pt,763,763.0,no,0.0491465378422,Total_Arquivo_Captures / Pop. 2021,15.5814,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 3 — Risco de Fuga,ok
MUN_C7DCE5E5,Castelo de Vide,cm-castelo-vide.pt,525,525.0,no,0.164165103189,Total_Arquivo_Captures / Pop. 2021,19.4713,metricas_iei_completo.csv:Media_Dias_Entre_Capturas,LEGACY_MODEL_FEATURE - imported from metricas_iei_completo.csv:Media_Dias_Entre_Capturas; original derivation formula not fully recoverable from current repository,yes,yes,yes,Tier 4 — Risco Crítico,ok
